Message ke-0;2021-11-30 01:39:50.669885
Message ke-1;2021-11-30 01:39:50.672356
Message ke-2;2021-11-30 01:39:50.675615
Message ke-3;2021-11-30 01:39:50.679153
Message ke-4;2021-11-30 01:39:50.682207
Message ke-5;2021-11-30 01:39:50.685176
Message ke-6;2021-11-30 01:39:50.687175
Message ke-7;2021-11-30 01:39:50.689174
Message ke-8;2021-11-30 01:39:50.691176
Message ke-9;2021-11-30 01:39:50.693174
Message ke-10;2021-11-30 01:39:50.695175
Message ke-11;2021-11-30 01:39:50.699179
Message ke-12;2021-11-30 01:39:50.701175
Message ke-13;2021-11-30 01:39:50.703177
Message ke-14;2021-11-30 01:39:50.705175
Message ke-15;2021-11-30 01:39:50.708171
Message ke-16;2021-11-30 01:39:50.710173
Message ke-17;2021-11-30 01:39:50.712173
Message ke-18;2021-11-30 01:39:50.715173
Message ke-19;2021-11-30 01:39:50.718177
Message ke-20;2021-11-30 01:39:50.720200
Message ke-21;2021-11-30 01:39:50.722191
Message ke-22;2021-11-30 01:39:50.725194
Message ke-23;2021-11-30 01:39:50.733298
Message ke-24;2021-11-30 01:39:50.743000
Message ke-25;2021-11-30 01:39:50.767615
Message ke-26;2021-11-30 01:39:50.789122
Message ke-27;2021-11-30 01:39:50.833286
Message ke-28;2021-11-30 01:39:50.845720
Message ke-29;2021-11-30 01:39:50.859785
Message ke-30;2021-11-30 01:39:50.869789
Message ke-31;2021-11-30 01:39:50.880869
Message ke-32;2021-11-30 01:39:50.891448
Message ke-33;2021-11-30 01:39:50.893800
Message ke-34;2021-11-30 01:39:50.903045
Message ke-35;2021-11-30 01:39:50.908903
Message ke-36;2021-11-30 01:39:50.915245
Message ke-37;2021-11-30 01:39:50.931691
Message ke-38;2021-11-30 01:39:50.940690
Message ke-39;2021-11-30 01:39:50.945370
Message ke-40;2021-11-30 01:39:50.954475
Message ke-41;2021-11-30 01:39:50.960559
Message ke-42;2021-11-30 01:39:50.968748
Message ke-43;2021-11-30 01:39:50.976240
Message ke-44;2021-11-30 01:39:50.986653
Message ke-45;2021-11-30 01:39:51.004188
Message ke-46;2021-11-30 01:39:51.021780
Message ke-47;2021-11-30 01:39:51.032373
Message ke-48;2021-11-30 01:39:51.039440
Message ke-49;2021-11-30 01:39:51.045859
Message ke-50;2021-11-30 01:39:51.062130
Message ke-51;2021-11-30 01:39:51.075196
Message ke-52;2021-11-30 01:39:51.082665
Message ke-53;2021-11-30 01:39:51.094066
Message ke-54;2021-11-30 01:39:51.099979
Message ke-55;2021-11-30 01:39:51.110333
Message ke-56;2021-11-30 01:39:51.119977
Message ke-57;2021-11-30 01:39:51.128117
Message ke-58;2021-11-30 01:39:51.138025
Message ke-59;2021-11-30 01:39:51.145305
Message ke-60;2021-11-30 01:39:51.156184
Message ke-61;2021-11-30 01:39:51.162233
Message ke-62;2021-11-30 01:39:51.173098
Message ke-63;2021-11-30 01:39:51.185468
Message ke-64;2021-11-30 01:39:51.193276
Message ke-65;2021-11-30 01:39:51.206161
Message ke-66;2021-11-30 01:39:51.212020
Message ke-67;2021-11-30 01:39:51.223119
Message ke-68;2021-11-30 01:39:51.232658
Message ke-69;2021-11-30 01:39:51.241937
Message ke-70;2021-11-30 01:39:51.254240
Message ke-71;2021-11-30 01:39:51.260352
Message ke-72;2021-11-30 01:39:51.272630
Message ke-73;2021-11-30 01:39:51.282374
Message ke-74;2021-11-30 01:39:51.291183
Message ke-75;2021-11-30 01:39:51.301127
Message ke-76;2021-11-30 01:39:51.309882
Message ke-77;2021-11-30 01:39:51.317518
Message ke-78;2021-11-30 01:39:51.326063
Message ke-79;2021-11-30 01:39:51.333046
Message ke-80;2021-11-30 01:39:51.342500
Message ke-81;2021-11-30 01:39:51.352787
Message ke-82;2021-11-30 01:39:51.358546
Message ke-83;2021-11-30 01:39:51.363886
Message ke-84;2021-11-30 01:39:51.452540
Message ke-85;2021-11-30 01:39:51.459132
Message ke-86;2021-11-30 01:39:51.468680
Message ke-87;2021-11-30 01:39:51.473242
Message ke-88;2021-11-30 01:39:51.502390
Message ke-89;2021-11-30 01:39:51.507534
Message ke-90;2021-11-30 01:39:51.516674
Message ke-91;2021-11-30 01:39:51.526649
Message ke-92;2021-11-30 01:39:51.534652
Message ke-93;2021-11-30 01:39:51.543650
Message ke-94;2021-11-30 01:39:51.550727
Message ke-95;2021-11-30 01:39:51.565236
Message ke-96;2021-11-30 01:39:51.575483
Message ke-97;2021-11-30 01:39:51.584475
Message ke-98;2021-11-30 01:39:51.590152
Message ke-99;2021-11-30 01:39:51.595144
